课程名字,课程链接
【蓝鲸】2021秋季全新SaaS开发实战课,https://ke.qq.com/course/4034559
python-30天从入门到精通-基础,https://ke.qq.com/course/4033646
看漫画学Python,https://ke.qq.com/course/3202568
基于GIS的Python开发应用（GIS思维）,https://ke.qq.com/course/2267271
Python开发技术分享,https://ke.qq.com/course/1797234
机器学习Python编程文件读写IO操作,https://ke.qq.com/course/483932
撩课-Python大数据+人工智能3,https://ke.qq.com/course/409094
Python全栈/数据分析/爬虫/AI人工智能-2,https://ke.qq.com/course/5624535
2天爬虫入门精选课,https://ke.qq.com/course/4130217
Python零基础入门必看动画课（第一季）,https://ke.qq.com/course/3420356
HTML入门到精通-（python网站开发全栈系列课）,https://ke.qq.com/course/3202389
Python基础入门+爬虫数据可视化,https://ke.qq.com/course/2804580
Python爬虫与反爬虫左右互搏,https://ke.qq.com/course/2027113
Python零基础入门到全栈开发,https://ke.qq.com/course/1584703
Python Django Web 开发,https://ke.qq.com/course/473874
python视频教程爬虫实战课程数据采集pyspark大数据全栈人工智能,https://ke.qq.com/course/450342
机器学习公开课,https://ke.qq.com/course/430799
Python深入浅出进阶教程【黑马程序员】,https://ke.qq.com/course/3582302
Python人工智能课程试听（免费）,https://ke.qq.com/course/2961581
python小白课 - 五天开发背单词软件 | python基础 | tkinter GUI,https://ke.qq.com/course/2929174
python从入门到精通,https://ke.qq.com/course/2525555
Python爬虫实战VIP班【灵犀教育】,https://ke.qq.com/course/436607
Python网络爬虫基础与实战,https://ke.qq.com/course/415319
Python全栈/爬虫/运维/Flask/Openstack Django【达亚学院】,https://ke.qq.com/course/397896
Django+Ajax商业实战,https://ke.qq.com/course/378236
Python快速入门,https://ke.qq.com/course/354426
Python框架之Django开发实战,https://ke.qq.com/course/378200
Python全栈/数据分析/爬虫/AI人工智能-5,https://ke.qq.com/course/5645480
Python财务分析基础,https://ke.qq.com/course/4162285
Python人脸识别来访系统开发实战,https://ke.qq.com/course/4001197
Python爬虫,https://ke.qq.com/course/4000870
数据分析入门教程，300分钟用Matplotlib打造疫情展示地图,https://ke.qq.com/course/2961800
python编程python编程入门python基础教程python青少年少儿编程,https://ke.qq.com/course/2029685
量化投资-由浅入深学习Python语言,https://ke.qq.com/course/470502
Python快速入门（5小时带你飞）,https://ke.qq.com/course/408242
python程序设计：2.1Python面向对象的程序设计,https://ke.qq.com/course/269234
Python萌新启航班（第四期）,
Python算法,https://ke.qq.com/course/4875020
Python3.10的下载安装与新特性,https://ke.qq.com/course/4124396
Python开发环境配置,https://ke.qq.com/course/3453658
Python3编程开发环境与工具配置 - 基于Python3.9,https://ke.qq.com/course/3096444
3天学会爬虫，一起开发爬虫项目实践（价值5k的私活）,https://ke.qq.com/course/2959760
零基础，Python入门！,https://ke.qq.com/course/2738998
Python 函数,https://ke.qq.com/course/2029066
Python全栈精品课之正则表达式,https://ke.qq.com/course/1584694
零基础实战Python【核心技术】编程,https://ke.qq.com/course/409534
Python全栈精品课之Python精讲课（一）,https://ke.qq.com/course/1582809
Python开发之爬虫实战课程(4号教室),https://ke.qq.com/course/5830693
信息技术 八年级上 浙教版 Python程序设计,https://ke.qq.com/course/3998836
Python：函数重定义的本质,https://ke.qq.com/course/3581119
手把手教你学Python（前导篇）,https://ke.qq.com/course/3517980
彻底搞懂python元类metaclass,https://ke.qq.com/course/3450558
python基础课程 | 三眼鸭,https://ke.qq.com/course/3417948
Python零基础小白入门必修课,https://ke.qq.com/course/3030907
Python Qt 图形界面开发 PyQt5 PySide2 - 白月黑羽出品,https://ke.qq.com/course/473073
灵犀教育Python+AI VIP体验课,https://ke.qq.com/course/458852
【NEXT学院】Python从入门到实战·基础篇【体验课】,https://ke.qq.com/course/385849
【马士兵教育】0基础入门Python全栈开发，挑战高薪就业,https://ke.qq.com/course/2379953
Python零基础进阶全栈开发【六星教育】,https://ke.qq.com/course/2320671
python+AI VIP体验视频,https://ke.qq.com/course/451472
撩课-Python大数据+人工智能4,https://ke.qq.com/course/409286
Python基础班,https://ke.qq.com/course/395900
Python基础教程/爬虫/AI人工智能/数据分析/机器学习【六星教育】,https://ke.qq.com/course/292490
python web工程师：30分钟完成新闻系统开发,https://ke.qq.com/course/257890
0基础如何用3个月学会机器学习,https://ke.qq.com/course/254898
Python小白到大牛【免费学习交流课】,https://ke.qq.com/course/249690
Python萌新启航班（第三期）,
初学Python第一步：部署开发环境,https://ke.qq.com/course/3168936
Python爬虫开发实战,https://ke.qq.com/course/5420696
Python零基础小白入门课程,https://ke.qq.com/course/3168528
Python小白入门课｜Django｜爬虫｜数据分析,https://ke.qq.com/course/3097811
Python全栈工程师 Python开发/数据分析/AI人工智能【图灵课堂】,https://ke.qq.com/course/3029344
零起点高质量Python网站、软件开发与Excel处理就业实战宣传介绍,https://ke.qq.com/course/2959905
Python零基础入门｜小白变大神｜Django｜爬虫｜数据分析,https://ke.qq.com/course/2898531
爬了么课堂,https://ke.qq.com/course/2838735
Python全方面技能了解、市场行业全面分析【马士兵教育】,https://ke.qq.com/course/2836144
免费Python爬虫实战课程,https://ke.qq.com/course/2474528
Python办公自动化-千张excel表格数据汇总/文件读取/数据合并分析,https://ke.qq.com/course/4126350
Python零基础入门|爬虫|数据分析|人工智能【软帝云课堂】,https://ke.qq.com/course/3941163
Python名师精讲训练营【图灵课堂】,https://ke.qq.com/course/3612906
Python爬虫小白入门（答疑篇）,https://ke.qq.com/course/3547666
后台开发-Python/PHP/C/C++/Golang/C#-大厂后台开发个人能力解析,https://ke.qq.com/course/3517879
python零基础全栈开发 / 爬虫开发 / 数据分析 / AI人工智能,https://ke.qq.com/course/3450407
Python零基础新手小白入门到项目实战【六星教育】,https://ke.qq.com/course/3485518
Python网络爬虫实战课程,https://ke.qq.com/course/3438269
Python零基础入门｜小白变大神｜Django｜爬虫｜数据分析,https://ke.qq.com/course/3417573
Python Web开发动手练习项目V1.0 学生管理系统,https://ke.qq.com/course/465403
Uzdil Python语言基础【维吾尔语】,https://ke.qq.com/course/4300904
Arcgis Python二次开发中高级课程 从入门到高薪就业,https://ke.qq.com/course/4234433
python新闻信息管理系统 毕业设计毕设源码 演示教程(Django框架),https://ke.qq.com/course/4231967
基于python的Django框架购物商城毕业设计毕设源码演示教程,https://ke.qq.com/course/4228470
python校园鲜花水果商城 毕业设计毕设源码 演示教程(Django框架),https://ke.qq.com/course/4231404
Python名师精讲训练营课程,https://ke.qq.com/course/4164266
Python零基础高薪就业特训营【六星教育】,https://ke.qq.com/course/3855266
Python核心编程—预科班,https://ke.qq.com/course/3854898
Python人工智能之蔬菜识别,https://ke.qq.com/course/3451434
Python萌新启航班,
Python开发/网络爬虫/数据分析/人工智能赢取高薪未来[职坐标],https://ke.qq.com/course/4366361
Python技术从0基础入门到实战操练,https://ke.qq.com/course/4334040
python初级课程,https://ke.qq.com/course/4302944
建筑参数化性能分析-高级课程说明,https://ke.qq.com/course/4234452
python新冠疫情数据采集显示网站毕业设计源码演示(Django框架),https://ke.qq.com/course/4234236
python建筑数据分析-课程介绍,https://ke.qq.com/course/4234444
python企业公司网站 毕业设计毕设源码 演示教程(Django框架),https://ke.qq.com/course/4233518
Python Web开发动手练习项目V2.0 学生管理系统,https://ke.qq.com/course/468601
python个人博客系统 毕业设计毕设源码 演示教程(Django框架),https://ke.qq.com/course/4232698
Python兴趣爱好特惠包,
Python开发之爬虫实战课程(3号教室),https://ke.qq.com/course/5830692
Python案例实战教学| Python自动化 | 爬虫 | 数据分析 | Web开发,https://ke.qq.com/course/4934130
必学基础人工智能课程，7天入门机器学习,https://ke.qq.com/course/4846012
Python 0基础-高薪架构一站就业课-项目驱动，企业认可,https://ke.qq.com/course/4546066
python游戏开发/pygame/面向对象/游戏设计思想,https://ke.qq.com/course/4545120
0基础5G网络优化工程师课程（新版）,https://ke.qq.com/course/4543832
Python入门到精通丨项目实战特训丨爬虫丨人工智能丨自动化办公,https://ke.qq.com/course/4515400
python青少年编程v少儿编程,https://ke.qq.com/course/4456899
Python零基础入门丨小白变大神丨Django丨爬虫丨数据分析,https://ke.qq.com/course/4515315
Python编程基础语法快速入门,https://ke.qq.com/course/470718
Python开发之数据分析课程(1号教室),https://ke.qq.com/course/5826507
Python小白零基础入门,https://ke.qq.com/course/5455019
Python基础语法Python入门课程零基础学Python人工智能课程,https://ke.qq.com/course/5418210
Python零基础入门必学,https://ke.qq.com/course/5408651
python零基础快速入门到就业【码牛学院】,https://ke.qq.com/course/5272567
python绘图turtle基础入门,https://ke.qq.com/course/5154138
【蓝鲸】2022运维SaaS开发课实战课/低代码/云原生/Python,https://ke.qq.com/course/5153283
Python实战入门【基础班】,https://ke.qq.com/course/5095292
python操作Excel基础,https://ke.qq.com/course/5027548
python基础入门,https://ke.qq.com/course/5024534
论文作业复现机器学习模型案例,https://ke.qq.com/course/5507577
Python程序设计入门基础教学,https://ke.qq.com/course/5490755
Python零基础到爬虫项目实战,https://ke.qq.com/course/5488265
Python0基础到高薪就业-全面了解行业趋势，应用发展,https://ke.qq.com/course/5404289
Python开发,https://ke.qq.com/course/5388222
Python零基础快速就业到高级网络爬虫/人工智能/数据分析,https://ke.qq.com/course/5384719
python零基础教程/爬虫/AI人工智能/数据分析/机器学习,https://ke.qq.com/course/5384407
Python零基础到爬虫项目实战,https://ke.qq.com/course/5378936
【四二学堂】Python游戏基础-用tkinter画高级图形,https://ke.qq.com/course/2380911
Python编程环境搭建和Pycharm开发工具使用,https://ke.qq.com/course/471289
何老师python精讲课堂,https://ke.qq.com/course/5838313
python教室图书馆座位预约系统(Django框架)毕设作品演示教程,https://ke.qq.com/course/5831647
Python体验课,https://ke.qq.com/course/5813817
基于python图片分享平台系统毕业设计 毕设作品教程,https://ke.qq.com/course/5708752
Python零基础新手小白入门到项目实战,https://ke.qq.com/course/5660336
基于python校园排课选课系统毕业设计 毕设作品教程,https://ke.qq.com/course/5675140
Python爬虫课程,https://ke.qq.com/course/5530280
零基础Python特训课,https://ke.qq.com/course/5508755
github入门与开发,https://ke.qq.com/course/363619
Python全家福（第三期）,
python校园运动场地预约系统(Django框架)毕设作品演示教程,https://ke.qq.com/course/5831646
Python零基础入门,https://ke.qq.com/course/5660443
基于python旅游景区景点购票系统毕业设计 毕设作品教程,https://ke.qq.com/course/5708652
3天简单快速入门Python机器学习,https://ke.qq.com/course/5599593
Python核心编程,https://ke.qq.com/course/5576887
python爬虫零基础入门实战羡慕-抓取百度任意图片,https://ke.qq.com/course/5508753
Python体验课1,https://ke.qq.com/course/5508188
python爬虫零基础 --爬取虎牙直播平台任意图片,https://ke.qq.com/course/5508749
Python全家福（一）,
Python零基础项目实战之豆瓣电影爬取,https://ke.qq.com/course/5508718
基于python二手物品交易系统毕业设计 毕设作品教程,https://ke.qq.com/course/5708837
Python核心编程答疑,https://ke.qq.com/course/5664965
基于python电子书阅读系统毕业设计 毕设作品教程,https://ke.qq.com/course/5699266
Python实战特训课【图灵课堂】,https://ke.qq.com/course/5645060
基于python校园网站系统毕业设计 毕设作品教程,https://ke.qq.com/course/5675102
Flask从零博客开发实战,https://ke.qq.com/course/5559861
Python教程4天快速入手Python数据挖掘,https://ke.qq.com/course/5557227
Python零基础新手小白入门到项目实战,https://ke.qq.com/course/5515440
Django Web开发系列课程：MySQL数据库初体验,https://ke.qq.com/course/3100682
Python全系列大师课-0基础挑战高薪,https://ke.qq.com/course/2379892
python开发实战从入门到精通,https://ke.qq.com/course/5838476
Python爬虫强化班,https://ke.qq.com/course/5838468
扫地僧AI量化平台Qlib给力教程系列一：核心篇,https://ke.qq.com/course/5838458
Python爬虫数据科学：Python基础/爬虫开发/大数据分析/数据结构,https://ke.qq.com/course/5838346
Python技能提升班3.0,https://ke.qq.com/course/5838149
Python数据分析训练营职场全能班,https://ke.qq.com/course/5837995
django 博客项目实战 - 从草图到编码到上线部署【真全栈】,https://ke.qq.com/course/5837777
Python金融风控模型案例实战大全,https://ke.qq.com/course/5837658
【Python入门教程】零基础教程/全套教程｜港大学霸系统精讲,https://ke.qq.com/course/5837648
python正则表达式 ：基础知识+进阶知识+典型案例,https://ke.qq.com/course/5837483
python教室实验室预约系统(Django框架)毕设作品演示教程,https://ke.qq.com/course/5831645
Python开发之爬虫实战课程(2号教室),https://ke.qq.com/course/5830690
Python GUI编程 PyQt6入门到实战,https://ke.qq.com/course/5829662
机器学习实战,https://ke.qq.com/course/5830022
Python Flask 测试数据生成器项目,https://ke.qq.com/course/5829107
Python开发之爬虫开发课程(1号教室),https://ke.qq.com/course/5829854
Vue3.0全家桶+Element-Plus,https://ke.qq.com/course/5827714
Python核心编程(4号教室),https://ke.qq.com/course/5829802
周哥教IT.Python异步编程,https://ke.qq.com/course/5826764
Python核心编程(3号教室),https://ke.qq.com/course/5829341
不拖沓的Python竞赛课【第一辑 顺序结构】,https://ke.qq.com/course/5824404
Python核心编程(2号教室),https://ke.qq.com/course/5826833
Python技能提升班2.0,https://ke.qq.com/course/5824103
Python开发之爬虫开发课程(1号教室),https://ke.qq.com/course/5826506
Django vue python es redis celery 完成小福商城建设,https://ke.qq.com/course/5820555
Python核心编程(1号教室),https://ke.qq.com/course/5826505
【马士兵教育】Python/数据挖掘/AIoT人工智能,https://ke.qq.com/course/5814346
【马士兵教育】Python/数据挖掘/AIoT人工智能预定,https://ke.qq.com/course/5814345
Python核心编程预定,https://ke.qq.com/course/5807972
青少年软件编程等级考试Python语言4级历年真题课程,https://ke.qq.com/course/5806574
Python数据抓取小白入门实战19,https://ke.qq.com/course/5804955
青少年软件编程等级考试Python语言3级历年真题课程,https://ke.qq.com/course/5806571
app小程序手机端Python自动化爬虫实战,https://ke.qq.com/course/5798062
Python核心编程初体验,https://ke.qq.com/course/5738746
基于python校园二手书籍交易系统毕业设计 毕设作品教程,https://ke.qq.com/course/5708859
Python入门编程训练营,https://ke.qq.com/course/5711390
Python零基础入门,https://ke.qq.com/course/5690375
爬虫与反爬虫实战,https://ke.qq.com/course/5701147
Vue3.0全家桶+Element-Plus,https://ke.qq.com/course/5690049
爬虫与反爬虫实战进阶,https://ke.qq.com/course/5701114
觉醒教育Python专属,https://ke.qq.com/course/5670560
爬虫与反爬虫实战入门,https://ke.qq.com/course/5701081
Python零基础新手小白入门到项目实战,https://ke.qq.com/course/5660371
Python核心编程初体验,https://ke.qq.com/course/5692241
Python零基础实战训练营,https://ke.qq.com/course/5627684
Python入门与爬虫实战课程,https://ke.qq.com/course/5683405
Python高薪全能班,https://ke.qq.com/course/5683404
Python入门与爬虫实战入门,https://ke.qq.com/course/5683369
Python核心编程,https://ke.qq.com/course/5683335
2022核心编程基础(7号教室),https://ke.qq.com/course/5644859
2022核心编程基础(6号教室),https://ke.qq.com/course/5625284
Python开发之爬虫开发课程(2号教室),https://ke.qq.com/course/5625282
Python/商业插画/插画设计/插画/板绘/手绘/CG插画全能班,https://ke.qq.com/course/5613634
码趣Python全栈开发,https://ke.qq.com/course/5607177
Python零基础训练,https://ke.qq.com/course/5606321
播音主持/配音声优/有声书/声音美化系统课,https://ke.qq.com/course/5606318
码趣教育播音、Python体验课,https://ke.qq.com/course/5599827
CG-板绘全能班,https://ke.qq.com/course/5573836
码趣教育播音、Python专属预定,https://ke.qq.com/course/5594006
CG-高薪全能班,https://ke.qq.com/course/5573832
Python核心编程,https://ke.qq.com/course/5567129
Python爬虫数据科学：Python基础/爬虫开发/大数据分析/数据结构,https://ke.qq.com/course/5566991
python零基础到高薪就业VIP班【金渡教育】,https://ke.qq.com/course/5548274
Python基础班,https://ke.qq.com/course/5530694
UiPath RPA开发：入门、实战与进阶—官方配套视频课程,https://ke.qq.com/course/5530102
Python进阶班,https://ke.qq.com/course/5530692
Python开发之数据分析课程(2号教室),https://ke.qq.com/course/5524819
Python爬虫,https://ke.qq.com/course/5530662
Python爬虫高薪特训班,https://ke.qq.com/course/5524204
PythonWeb班,https://ke.qq.com/course/5530630
【觉醒教育录播】PythonWeb之flask项目实战案例,https://ke.qq.com/course/5522510
网络爬虫从入门到进阶,https://ke.qq.com/course/5516643
Python机器学习,https://ke.qq.com/course/5514489
零基础入门学Python（2022版）,https://ke.qq.com/course/5510997
Python人工智能,https://ke.qq.com/course/5512025
2022核心编程基础(5号教室),https://ke.qq.com/course/5510962
2022核心编程基础(5号教室),https://ke.qq.com/course/5510962
python零基础进阶课-深入理解面向对象思维,https://ke.qq.com/course/5508819
2022核心编程基础(4号教室),https://ke.qq.com/course/5510960
Python体验课,https://ke.qq.com/course/5507984
2022核心编程基础(3号教室),https://ke.qq.com/course/5510930
Python全栈开发,https://ke.qq.com/course/5499815
2022核心编程基础(2号教室),https://ke.qq.com/course/5510929
WEB开发全能班,https://ke.qq.com/course/5496611
2022核心编程基础(1号教室),https://ke.qq.com/course/5507618
Python体验课,https://ke.qq.com/course/5496461
扫地僧Backtrader给力教程系列二：量化回测与实盘交易高级篇,https://ke.qq.com/course/5481729
Python体验课,https://ke.qq.com/course/5491401
Python及其在数据分析中的应用,https://ke.qq.com/course/5473564
【星越教育】爬虫实战开发与逆向解析系统课,https://ke.qq.com/course/5472601
Python自动化测试与运维,https://ke.qq.com/course/5470446
Python基础语法Python入门课程零基础学Python人工智能课程,https://ke.qq.com/course/5458774
Python办公自动化,https://ke.qq.com/course/5470377
Python-爬虫高薪,https://ke.qq.com/course/5458369
Python体验课,https://ke.qq.com/course/5455210
Python-全栈高薪,https://ke.qq.com/course/5458291
Python体验课,https://ke.qq.com/course/5423931
Python爬虫实例：手把手带你一起快速全面抓取海量房产数据,https://ke.qq.com/course/5423663
Python专题课合集,https://ke.qq.com/course/5421046
Python数据抓取小白入门实战18【六星教育】,https://ke.qq.com/course/5420733
Python零基础小白入门31【六星教育】,https://ke.qq.com/course/5420731
Python高级基础进阶,https://ke.qq.com/course/5420306
Python实现小游戏入门20【六星教育】,https://ke.qq.com/course/5420730
零基础学python/python零基础入门教程,https://ke.qq.com/course/5411169
Python高薪VIP体验班90【六星源课堂】,https://ke.qq.com/course/5417552
Python全栈+爬虫+AI人工智能,https://ke.qq.com/course/5400453
Python高薪VIP体验-零基础入门81【六星教育】,https://ke.qq.com/course/5410925
Python项目实战班【包含：长期项目资源】,https://ke.qq.com/course/5400334
Python全栈/数据分析/爬虫/AI人工智能[六星],https://ke.qq.com/course/5407772
Python编程练习100题,https://ke.qq.com/course/5393654
码趣教育Python专属预定链接,https://ke.qq.com/course/5345802
web前端预付,https://ke.qq.com/course/5332738
零基础Python入门scrapy爬虫,https://ke.qq.com/course/5332505
【星越教育】Python零基础全栈系统学习班,https://ke.qq.com/course/5304186
扫地僧Backtrader给力教程系列一：量化回测核心篇 增订版,https://ke.qq.com/course/5297935
Python高薪VIP体验班63【六星教育】,https://ke.qq.com/course/5287694
backtrader回测结果分析工具集用法详解,https://ke.qq.com/course/5289518
Python实现小游戏入门61【六星教育】,https://ke.qq.com/course/5287689
亿学python全套专用课程,https://ke.qq.com/course/5287495
Python零基础小白入门61【六星教育】,https://ke.qq.com/course/5287686
Python零基础到实战,https://ke.qq.com/course/5287349
MySQL数据库入门实战 - Python版,https://ke.qq.com/course/5278388
Python全栈开发就业班（码牛学院）,https://ke.qq.com/course/5287333
python小白就业班预订专用链接【码牛学院】,https://ke.qq.com/course/5287032
小白入门Python到爬虫实战课程,https://ke.qq.com/course/5274748
0基础到大神进阶之路,https://ke.qq.com/course/5271683
Python体验课,https://ke.qq.com/course/5182945
Python3 Pygame 中国象棋 源代码,https://ke.qq.com/course/5182473
python绘图turtle基础案例,https://ke.qq.com/course/5154141
python库turtle绘CAD冰墩墩,https://ke.qq.com/course/5154053
【青灯教育】Python课程,https://ke.qq.com/course/5095608
Python Django| Web商业实战项目 | 后端开发核心能力,https://ke.qq.com/course/5066229
日语0-N1系统班/Python,https://ke.qq.com/course/5059738
python标准turtle库绘来自CAD兔子,https://ke.qq.com/course/5024378
Python预付,https://ke.qq.com/course/4993759
Python课程预定链接,https://ke.qq.com/course/4933620
Pytho零基础入门课程专属,https://ke.qq.com/course/4933536
数据分析师速成训练营课程,https://ke.qq.com/course/4933012
【亿学教育】Python入门零基础专属课程,https://ke.qq.com/course/4933522
Python数据抓取小白入门实战【六星教育】,https://ke.qq.com/course/4874678
Python体验课,https://ke.qq.com/course/4845625
【星越教育】Python零基础全栈工程师学习班,https://ke.qq.com/course/4759125
Python体验课,https://ke.qq.com/course/4815753
Python高薪就业课程,https://ke.qq.com/course/4756994
Python体验课,https://ke.qq.com/course/4759036
Python萌新启航班,https://ke.qq.com/course/4756230
Python基础入学,https://ke.qq.com/course/4757078
Python体验课,https://ke.qq.com/course/4756129
Python-数据分析/数据可视化,https://ke.qq.com/course/4756014
跟着王进老师学Python之Django篇第九季：Web项目发布到腾讯云,https://ke.qq.com/course/4667945
Python零基础入门,https://ke.qq.com/course/4667258
跟着王进老师学Python之Django篇第八季：用户权限管理,https://ke.qq.com/course/4576802
python青少年编程,https://ke.qq.com/course/4547721
